iter	Passed	Remaining
214	437	1597
215	438	1591
216	439	1586
217	440	1580
218	441	1574
219	442	1569
220	443	1564
221	445	1559
222	446	1554
223	447	1548
224	448	1543
225	449	1537
226	450	1532
227	451	1527
228	452	1521
229	452	1516
230	454	1511
231	455	1506
232	456	1501
233	457	1496
234	458	1491
235	459	1488
236	460	1483
237	461	1478
238	462	1473
239	463	1469
240	464	1464
241	465	1459
242	466	1454
243	467	1449
244	468	1445
245	469	1440
246	470	1435
247	471	1430
248	472	1425
249	474	1422
250	475	1419
251	476	1414
252	477	1410
253	478	1405
254	479	1401
255	480	1396
256	481	1392
257	482	1387
258	483	1383
259	484	1379
260	485	1375
261	486	1370
262	487	1366
263	488	1363
264	490	1359
265	491	1355
266	492	1351
267	493	1346
268	494	1342
269	495	1338
270	496	1334
271	496	1330
272	497	1326
273	498	1322
274	499	1318
275	501	1314
276	502	1310
277	503	1306
278	505	1305
279	506	1301
280	507	1298
281	508	1294
282	509	1291
283	510	1287
284	512	1284
285	513	1281
286	514	1277
287	515	1274
288	516	1270
289	517	1267
290	518	1264
291	519	1260
292	521	1257
293	522	1253
294	523	1250
295	524	1246
296	525	1243
297	526	1239
298	527	1236
299	528	1232
300	529	1229
301	530	1225
302	531	1222
303	532	1219
304	534	1217
305	535	1213
306	536	1210
307	537	1207
308	538	1203
309	539	1200
310	540	1197
311	541	1193
312	542	1190
313	543	1186
314	544	1183
315	545	1180
316	546	1176
317	547	1173
318	548	1170
319	550	1168
320	551	1166
321	552	1162
322	553	1159
323	554	1156
324	555	1153
325	556	1150
326	557	1147
327	558	1144
328	559	1141
329	560	1137
330	561	1134
331	562	1131
332	563	1129
333	565	1127
334	566	1124
335	567	1121
336	568	1118
337	569	1115
338	570	1112
339	571	1109
340	572	1106
341	573	1103
342	574	1099
343	575	1096
344	576	1094
345	577	1091
346	578	1088
347	580	1087
348	581	1084
349	582	1081
350	583	1078
351	584	1076
352	585	1073
353	586	1070
354	587	1067
355	588	1064
356	589	1061
357	590	1058
358	591	1055
359	592	1053
360	593	1050
361	595	1049
362	596	1046
363	597	1044
364	598	1042
365	600	1039
366	601	1036
367	602	1034
368	603	1031
369	603	1028
370	604	1025
371	605	1022
372	606	1020
373	607	1017
374	609	1015
375	610	1013
376	611	1010
377	612	1008
378	613	1005
379	614	1003
380	615	1000
381	616	997
382	617	995
383	618	992
384	619	989
385	620	987
386	621	984
387	622	982
388	623	979
389	625	978
390	626	976
391	627	973
392	628	971
393	630	969
394	631	966
395	631	963
396	632	961
397	633	958
398	634	956
399	635	953
400	636	951
401	637	948
402	639	946
403	640	945
404	641	942
405	642	940
406	643	937
407	644	935
408	645	932
409	646	930
410	647	928
411	648	925
412	649	923
413	650	920
414	651	918
415	652	916
416	653	914
417	655	912
418	656	910
419	657	907
420	658	905
421	659	903
422	660	900
423	661	898
424	662	896
425	663	893
426	664	891
427	665	889
428	666	886
429	667	884
430	668	882
431	669	880
432	670	878
433	671	876
434	672	873
435	673	871
436	674	869
437	675	867
438	676	864
439	677	862
440	678	860
441	679	857
442	680	855
443	681	853
444	682	851
445	683	849
446	685	847
447	686	845
448	687	843
449	688	841
450	689	839
451	690	837
452	691	835
453	692	833
454	693	831
455	694	828
456	695	826
457	696	824
458	697	822
459	698	820
460	700	818
461	701	816
462	702	814
463	703	812
464	704	810
465	705	807
466	706	805
